title,subtitle,authors,isbn,publisher,publication_year,language,page_count,description,genre,tags,shelf,purchase_date,purchase_price
The Stranger,,Albert Camus,9780679720201,Vintage,1942,English,123,"Meursault is drawn into a murder on an Algerian beach, embodying Camus's philosophy of absurdism.",Philosophy,absurdism;existentialism;nobel,Shelf A4,2023-01-15,11.00
The Metamorphosis,,Franz Kafka,9780553213690,Bantam Classics,1915,English,208,Gregor Samsa wakes up one morning transformed into a monstrous insect.,Fiction,kafkaesque;classic;existential,Shelf A4,2023-01-15,6.95
Frankenstein,The Modern Prometheus,Mary Shelley,9780141439471,Penguin Classics,1818,English,280,Victor Frankenstein creates a sapient creature in an unorthodox scientific experiment.,Sci-Fi,gothic;horror;classic,Shelf A5,2023-01-15,8.00
Dracula,,Bram Stoker,9780141439846,Penguin Classics,1897,English,488,Count Dracula's attempt to move from Transylvania to England to spread the undead curse.,Horror,gothic;vampire;classic,Shelf A5,2023-01-15,9.50
The Picture of Dorian Gray,,Oscar Wilde,9780141439570,Penguin Classics,1890,English,254,Dorian Gray remains eternally young while his portrait ages and records his moral degradation.,Classics,gothic;philosophical;classic,Shelf A5,2023-01-15,8.99
Moby-Dick,The Whale,Herman Melville,9780142437247,Penguin Classics,1851,English,654,"The obsessive quest of Captain Ahab for revenge against Moby Dick, the giant white sperm whale.",Classics,adventure;classic;sea,Shelf A5,2023-01-15,12.50
War and Peace,,Leo Tolstoy,9781400079988,Vintage,1869,English,1225,An epic chronicle of Russian society during the Napoleonic Era across five aristocratic families.,History,russian;epic;masterpiece,Shelf A6,2023-01-15,24.00
Anna Karenina,,Leo Tolstoy,9780143035008,Penguin Classics,1877,English,864,The tragic love affair between Anna Karenina and Count Vronsky against Imperial Russian high society.,Romance,russian;romance;classic,Shelf A6,2023-01-15,16.00
The Old Man and the Sea,,Ernest Hemingway,9780684801223,Scribner,1952,English,128,An aging Cuban fisherman struggles with a giant marlin far out in the Gulf Stream.,Fiction,nobel;pulitzer;classic,Shelf A6,2023-01-15,9.99
For Whom the Bell Tolls,,Ernest Hemingway,9780684803357,Scribner,1940,English,471,Robert Jordan joins an antifascist guerrilla unit in the mountains during the Spanish Civil War.,Fiction,war;drama;classic,Shelf A6,2023-01-15,14.50
Slaughterhouse-Five,The Children's Crusade,Kurt Vonnegut,9780385333849,Dial Press,1969,English,275,"Billy Pilgrim experiences his life out of order, including the firebombing of Dresden and abduction by aliens.",Sci-Fi,anti-war;satire;postmodern,Shelf A7,2023-01-15,13.00
Catch-22,,Joseph Heller,9781451626650,Simon & Schuster,1961,English,453,Captain John Yossarian tries desperately to stay alive during World War II amidst bureaucratic absurdity.,Fiction,satire;war;classic,Shelf A7,2023-01-15,15.00
Lord of the Flies,,William Golding,9780399501487,Penguin,1954,English,224,A group of British boys stranded on an uninhabited island descend into savagery.,Classics,allegory;classic;dark,Shelf A7,2023-01-15,10.00
Jane Eyre,,Charlotte Brontë,9780141441146,Penguin Classics,1847,English,532,An orphaned governess falls in love with the brooding Edward Rochester of Thornfield Hall.,Romance,gothic;romance;victorian,Shelf A7,2023-01-15,9.00
Wuthering Heights,,Emily Brontë,9780141439556,Penguin Classics,1847,English,416,The passionate and destructive love between Heathcliff and Catherine Earnshaw on the Yorkshire moors.,Romance,gothic;romance;classic,Shelf A8,2023-01-15,8.50
Don Quixote,,Miguel de Cervantes,9780060934347,Harper Perennial,1605,English,992,An idealistic noble sets out with his loyal squire Sancho Panza to revive chivalry.,Classics,spanish;satire;epic,Shelf A8,2023-01-15,17.00
The Odyssey,,Homer,9780140268867,Penguin Classics,-700,English,541,The ten-year journey of Odysseus returning home to Ithaca after the fall of Troy.,Mythology,greek;epic;ancient,Shelf A8,2023-01-15,14.00
The Iliad,,Homer,9780140275360,Penguin Classics,-750,English,683,The epic poem recounting the wrath of Achilles during the final weeks of the Trojan War.,Mythology,greek;epic;poetry,Shelf A8,2023-01-15,14.50
Great Expectations,,Charles Dickens,9780141439563,Penguin Classics,1861,English,544,The growth and personal development of an orphan nicknamed Pip in Victorian England.,Classics,dickens;victorian;classic,Shelf A9,2023-01-15,10.00
A Tale of Two Cities,,Charles Dickens,9780141439600,Penguin Classics,1859,English,489,"Set in London and Paris before and during the French Revolution, contrasting life and upheaval.",History,dickens;historical;french-revolution,Shelf A9,2023-01-15,9.50
Dune,,Frank Herbert,9780441172719,Ace,1965,English,896,Paul Atreides navigates the desert planet Arrakis and leads a rebellion for spice control.,Sci-Fi,epic-scifi;space-opera;favorite;masterpiece,Shelf B1,2023-01-15,18.00
Dune Messiah,,Frank Herbert,9780441172696,Ace,1969,English,336,The tragic sequel exploring the consequences of Paul Atreides' religious empire.,Sci-Fi,space-opera;sequel,Shelf B1,2023-01-15,10.99
The Hobbit,There and Back Again,J.R.R. Tolkien,9780547928227,Houghton Mifflin Harcourt,1937,English,310,Bilbo Baggins journeys with thirteen dwarves and Gandalf to reclaim the Lonely Mountain.,Fantasy,middle-earth;classic;adventure;favorite,Shelf B1,2023-01-15,14.99
The Fellowship of the Ring,The Lord of the Rings: Part 1,J.R.R. Tolkien,9780547928210,Houghton Mifflin Harcourt,1954,English,432,Frodo Baggins begins the quest to destroy the One Ring in the fires of Mount Doom.,Fantasy,middle-earth;high-fantasy;epic,Shelf B1,2023-01-15,16.00
The Two Towers,The Lord of the Rings: Part 2,J.R.R. Tolkien,9780547928203,Houghton Mifflin Harcourt,1954,English,352,The fellowship is broken as war sweeps Rohan and Frodo travels toward Mordor with Gollum.,Fantasy,middle-earth;high-fantasy,Shelf B2,2023-01-15,16.00
The Return of the King,The Lord of the Rings: Part 3,J.R.R. Tolkien,9780547928197,Houghton Mifflin Harcourt,1955,English,464,The climax of the War of the Ring and the final confrontation at Mount Doom.,Fantasy,middle-earth;high-fantasy;masterpiece,Shelf B2,2023-01-15,16.00
Foundation,,Isaac Asimov,9780553293357,Spectra,1951,English,255,Hari Seldon uses psychohistory to preserve human knowledge across the fall of the Galactic Empire.,Sci-Fi,space-opera;classic-scifi;favorite,Shelf B2,2023-01-15,8.99
Foundation and Empire,,Isaac Asimov,9780553293371,Spectra,1952,English,256,"The Foundation confronts a dying Galactic Empire and the mysterious mutant conqueror, The Mule.",Sci-Fi,space-opera;scifi,Shelf B2,2023-01-15,8.99
Neuromancer,Sprawl Trilogy Book 1,William Gibson,9780441569595,Ace,1984,English,271,The seminal cyberpunk novel following washed-up console cowboy Case on a dangerous hacking mission.,Sci-Fi,cyberpunk;ai;hacker;classic,Shelf B3,2023-01-15,10.00
Snow Crash,,Neal Stephenson,9780553380958,Del Rey,1992,English,480,Hiro Protagonist navigates virtual metaverse reality and a linguistic computer virus.,Sci-Fi,cyberpunk;metaverse;action,Shelf B3,2023-01-15,16.00
Hyperion,The Hyperion Cantos,Dan Simmons,9780553283686,Spectra,1989,English,482,Seven pilgrims travel to the enigmatic world of Hyperion on the eve of galactic war.,Sci-Fi,space-opera;hugo-winner;epic,Shelf B3,2023-01-15,11.00
Ender's Game,,Orson Scott Card,9780812550702,Tor Books,1985,English,324,Child prodigy Ender Wiggin trains in Battle School to defend Earth against an alien invasion.,Sci-Fi,military-scifi;hugo-winner;classic,Shelf B3,2023-01-15,9.99
The Hitchhiker's Guide to the Galaxy,,Douglas Adams,9780345391803,Del Rey,1979,English,224,Arthur Dent escapes Earth's demolition and embarks on hilarious cosmic adventures.,Sci-Fi,comedy;scifi;favorite,Shelf B4,2023-01-15,8.99
The Three-Body Problem,Remembrance of Earth's Past Book 1,Cixin Liu;Ken Liu,9780765382030,Tor Books,2014,English,400,China's Cultural Revolution sets off first contact with a trisolarian alien civilization.,Sci-Fi,hard-scifi;hugo-winner;physics,Shelf B4,2023-01-15,17.99
The Dark Forest,Remembrance of Earth's Past Book 2,Cixin Liu;Joel Martinsen,9780765386694,Tor Books,2015,English,512,Luo Ji discovers the cosmic sociology theory of the Dark Forest while defending Earth.,Sci-Fi,hard-scifi;cosmic;epic,Shelf B4,2023-01-15,18.99
Project Hail Mary,,Andy Weir,9780593135204,Ballantine Books,2021,English,496,Ryland Grace is the lone survivor on a desperate space mission to save humanity from an extinction event.,Sci-Fi,hard-scifi;space;page-turner;favorite,Shelf B4,2023-01-15,28.00
The Martian,,Andy Weir,9780553418026,Broadway Books,2014,English,384,Astronaut Mark Watney is stranded on Mars and must use his scientific wits to survive.,Sci-Fi,hard-scifi;survival;humor,Shelf B5,2023-01-15,15.00
Children of Time,,Adrian Tchaikovsky,9780316452502,Orbit,2015,English,608,The remnants of humanity arrive at a terraformed world uplifted by a spider civilization.,Sci-Fi,evolution;space-opera;arthur-clarke-award,Shelf B5,2023-01-15,17.00
A Game of Thrones,A Song of Ice and Fire Book 1,George R.R. Martin,9780553593716,Bantam,1996,English,835,Noble houses vie for control of the Iron Throne of Westeros while an ancient threat stirs in the north.,Fantasy,epic-fantasy;grimdark;politics,Shelf B5,2023-01-15,10.99
The Way of Kings,The Stormlight Archive Book 1,Brandon Sanderson,9780765365279,Tor Books,2010,English,1007,"On the storm-ravaged world of Roshar, Kaladin, Shallan, and Dalinar struggle amid perpetual warfare.",Fantasy,epic-fantasy;cosmere;favorite,Shelf B6,2023-01-15,11.99
Mistborn: The Final Empire,Mistborn Book 1,Brandon Sanderson,9780765350381,Tor Books,2006,English,672,Vin and Kelsier plot a heist to overthrow the immortal Lord Ruler using allomancy.,Fantasy,magic-system;cosmere;heist,Shelf B6,2023-01-15,9.99
The Name of the Wind,The Kingkiller Chronicle: Day One,Patrick Rothfuss,9780756404741,DAW,2007,English,662,"Kvothe recounts his youth, his time at the University, and the tragic events of his legend.",Fantasy,magic;music;storytelling,Shelf B6,2023-01-15,10.99
Do Androids Dream of Electric Sheep?,,Philip K. Dick,9780345404473,Del Rey,1968,English,244,Bounty hunter Rick Deckard stalks rogue Nexus-6 androids through post-apocalyptic San Francisco.,Sci-Fi,cyberpunk;blade-runner;existential,Shelf B7,2023-01-15,15.95
Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,9781449373320,O'Reilly Media,2017,English,616,"An indispensable deep dive into storage engines, distributed consensus, transactions, and stream processing.",Technology,distributed-systems;databases;architecture;must-read,Office Shelf 1,2023-01-15,49.99
Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,9780132350884,Prentice Hall,2008,English,464,"Best practices for writing readable, maintainable, and elegant software code.",Technology,programming;software-engineering;best-practices,Office Shelf 1,2023-01-15,42.00
The Pragmatic Programmer,"Your Journey To Mastery, 20th Anniversary Edition",David Thomas;Andrew Hunt,9780135957059,Addison-Wesley Professional,2019,English,352,"Timeless wisdom on software development craftsmanship, debugging, tooling, and career growth.",Technology,programming;career;craftsmanship;favorite,Office Shelf 1,2023-01-15,45.00
Refactoring,Improving the Design of Existing Code,Martin Fowler,9780134757599,Addison-Wesley Professional,2018,English,448,Systematic guide and catalog of refactoring techniques to transform poorly structured code safely.,Technology,refactoring;clean-code;software-design,Office Shelf 1,2023-01-15,47.50
Clean Architecture,A Craftsman's Guide to Software Structure and Design,Robert C. Martin,9780134494166,Prentice Hall,2017,English,432,"Universal rules of software architecture to create independent, testable systems.",Technology,architecture;domain-driven;backend,Office Shelf 2,2023-01-15,38.00
Introduction to Algorithms,Fourth Edition,Thomas H. Cormen;Charles E. Leiserson;Ronald L. Rivest;Clifford Stein,9780262046305,MIT Press,2022,English,1312,The definitive comprehensive reference on algorithms and data structures.,Technology,algorithms;computer-science;reference,Office Shelf 2,2023-01-15,95.00
Structure and Interpretation of Computer Programs,,Harold Abelson;Gerald Jay Sussman;Julie Sussman,9780262510875,MIT Press,1996,English,657,"Foundational text on computation, abstraction, and functional programming using Scheme.",Technology,computer-science;lisp;theory,Office Shelf 2,2023-01-15,60.00
Database Internals,A Deep Dive into How Distributed Data Systems Work,Alex Petrov,9781492040347,O'Reilly Media,2019,English,372,"Explains B-trees, LSM trees, consensus algorithms, replication, and distributed storage engines.",Technology,databases;distributed-systems;storage,Office Shelf 2,2023-01-15,44.99
Building Microservices,Designing Fine-Grained Systems,Sam Newman,9781492034025,O'Reilly Media,2021,English,612,"Comprehensive guide to microservices architecture, modeling, communication, and deployments.",Technology,microservices;cloud;backend,Office Shelf 3,2023-01-15,52.00
Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,9781491946008,O'Reilly Media,2015,English,792,"Master idiomatic Python 3 features including generators, coroutines, descriptors, and metaprogramming.",Technology,python;programming;advanced,Office Shelf 3,2023-01-15,50.00
Grokking Algorithms,An illustrated guide for programmers and other curious people,Aditya Bhargava,9781617292231,Manning Publications,2016,English,256,"A visual, approachable guide to fundamental algorithms like binary search, graphs, and dynamic programming.",Technology,algorithms;visual;beginners,Office Shelf 3,2023-01-15,35.00
The Rust Programming Language,2nd Edition,Steve Klabnik;Carol Nichols,9781718503106,No Starch Press,2022,English,560,"The official book on Rust: memory safety without garbage collection, concurrency, and ownership.",Technology,rust;systems;programming,Office Shelf 3,2023-01-15,40.00
Site Reliability Engineering,How Google Runs Production Systems,Betsy Beyer;Chris Jones;Jennifer Petoff;Niall Richard Murphy,9781491929124,O'Reilly Media,2016,English,550,"Google's landmark principles and practices for managing large-scale, highly reliable production systems.",Technology,devops;sre;google;cloud,Office Shelf 4,2023-01-15,46.00
The Phoenix Project,"A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim;Kevin Behr;George Spafford,9780988262591,IT Revolution Press,2013,English,345,"A compelling novel illustrating DevOps, flow, feedback loops, and IT management in a manufacturing firm.",Technology,devops;novel;management,Office Shelf 4,2023-01-15,19.95
Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,9780735211292,Avery,2018,English,320,A practical framework for habit formation and self-improvement through tiny 1% daily increments.,Self-Help,habits;productivity;psychology;favorite,Shelf C1,2023-01-15,18.00
"Thinking, Fast and Slow",,Daniel Kahneman,9780374533557,"Farrar, Straus and Giroux",2011,English,499,Nobel laureate Daniel Kahneman explains the two cognitive systems that drive human thinking and cognitive biases.,Psychology,psychology;decision-making;behavioral-economics,Shelf C1,2023-01-15,17.00
The Psychology of Money,"Timeless lessons on wealth, greed, and happiness",Morgan Housel,9780857197689,Harriman House,2020,English,256,Nineteen short stories exploring the strange ways people think about money and risk.,Business,finance;psychology;investing;favorite,Shelf C1,2023-01-15,19.99
Deep Work,Rules for Focused Success in a Distracted World,Cal Newport,9781455586691,Grand Central Publishing,2016,English,304,Cultivating intense concentration to master complicated information and produce better results in less time.,Self-Help,focus;productivity;career,Shelf C1,2023-01-15,16.00
Meditations,,Marcus Aurelius,9780812968255,Modern Library,180,English,256,"The private journal and Stoic reflections of Roman Emperor Marcus Aurelius on duty, reason, and mortality.",Philosophy,stoicism;ancient;wisdom;favorite,Shelf C2,2023-01-15,12.00
Letters from a Stoic,Epistulae Morales ad Lucilium,Seneca,9780140442106,Penguin Classics,65,English,256,"Seneca's timeless philosophical essays on friendship, wealth, aging, virtue, and grief.",Philosophy,stoicism;philosophy;classic,Shelf C2,2023-01-15,14.00
Man's Search for Meaning,,Viktor E. Frankl,9780807014295,Beacon Press,1946,English,165,Psychiatrist Viktor Frankl's memoir of surviving Nazi concentration camps and developing logotherapy.,Psychology,memoir;meaning;resilience;classic,Shelf C2,2023-01-15,13.00
The Body Keeps the Score,"Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,9780143127741,Penguin Books,2014,English,464,"Groundbreaking research on how psychological trauma reshapes body and brain, and pathways to recovery.",Psychology,neuroscience;trauma;health,Shelf C2,2023-01-15,19.00
Sapiens,A Brief History of Humankind,Yuval Noah Harari,9780062316097,Harper,2015,English,443,"Explores how cognitive, agricultural, and scientific revolutions shaped humankind from prehistory to modernity.",History,anthropology;evolution;bestseller;favorite,Shelf C3,2023-01-15,22.00
Homo Deus,A Brief History of Tomorrow,Yuval Noah Harari,9780062464316,Harper,2017,English,448,"An investigation of future projects, technology, AI, and biotechnology facing 21st-century humanity.",History,futurism;ai;philosophy,Shelf C3,2023-01-15,21.00
Zero to One,"Notes on Startups, or How to Build the Future",Peter Thiel;Blake Masters,9780804139298,Crown Business,2014,English,224,"Contrarian philosophies on startup innovation, monopoly creation, and technological progress.",Business,startups;entrepreneurship;strategy,Shelf C3,2023-01-15,18.00
Shoe Dog,A Memoir by the Creator of Nike,Phil Knight,9781501135910,Scribner,2016,English,400,Phil Knight shares the candid journey of founding Nike from selling imported shoes from his car trunk.,Biography,memoir;business;inspiration;favorite,Shelf C3,2023-01-15,19.00
Principles: Life and Work,,Ray Dalio,9781501124020,Simon & Schuster,2017,English,592,Bridgewater founder Ray Dalio shares the decision-making rules that guided his life and career.,Business,management;decision-making;investing,Shelf C4,2023-01-15,24.00
The Black Swan,The Impact of the Highly Improbable,Nassim Nicholas Taleb,9781400063512,Random House,2007,English,400,"A study of high-impact, rare, and unpredictable events and our blindness to extreme randomness.",Philosophy,probability;risk;finance,Shelf C4,2023-01-15,18.00
Antifragile,Things That Gain from Disorder,Nassim Nicholas Taleb,9781400067824,Random House,2012,English,544,"How certain systems, businesses, and people thrive under stress, volatility, and uncertainty.",Philosophy,resilience;philosophy;systems,Shelf C4,2023-01-15,20.00
Cosmos,,Carl Sagan,9780345539434,Ballantine Books,1980,English,384,"An inspiring journey exploring science, history, cosmic evolution, and humanity's place in the universe.",Science,astronomy;science;classic;favorite,Shelf C4,2023-01-15,18.00
A Short History of Nearly Everything,,Bill Bryson,9780767908184,Broadway Books,2003,English,544,"A delightful and witty tour of physics, chemistry, paleontology, and astronomy.",Science,science;history;accessible,Shelf C5,2023-01-15,17.00
Steve Jobs,,Walter Isaacson,9781451648539,Simon & Schuster,2011,English,656,The riveting biography of the creative entrepreneur whose passion revolutionized six industries.,Biography,apple;technology;biography,Shelf C5,2023-01-15,20.00
Educated,A Memoir,Tara Westover,9780399590504,Random House,2018,English,352,An unforgettable memoir about growing up isolated in rural Idaho and pursuing education at Harvard and Cambridge.,Biography,memoir;education;bestseller,Shelf C5,2023-01-15,18.00
The Silk Roads,A New History of the World,Peter Frankopan,9781101912379,Vintage,2015,English,656,"A major reassessment of world history centering trade, culture, and power along the Eurasian Silk Road.",History,central-asia;trade;global-history;favorite,Shelf C5,2023-01-15,21.00
O'tkan Kunlar,Tarixiy Roman,Abdulla Qodiriy,9789943270473,Sharq,1926,O'zbek,416,Otabek va Kumushbibi fojiaviy muhabbati va 19-asr Qo'qon xonligidagi ijtimoiy-siyosiy hayot.,Classics,uzbek;tarixiy;must-read;classic,Shelf D1,2023-01-15,12.00
Mehrobdan Chayon,,Abdulla Qodiriy,9789943270480,Sharq,1928,O'zbek,336,"Xudoyorxon davridagi saroy fitnalari, adolat va sevgi to'g'risidagi mashhur o'zbek romani.",Classics,uzbek;tarixiy;classic,Shelf D1,2023-01-15,10.00
Kecha va Kunduz,,Abdulhamid Cho'lpon,9789943270497,Sharq,1936,O'zbek,320,Zebi va Miryoqub taqdiri orqali o'zbek ayollarining fojiasi va erk sari intilishlar tasviri.,Classics,uzbek;jadid;classic,Shelf D1,2023-01-15,11.50
Yulduzli Tunlar,Bobur,Pirimqul Qodirov,9789943270503,Sharq,1978,O'zbek,544,"Zahiriddin Muhammad Boburning hayoti, shohlik va shoirlik mashaqqatlari aks etgan tarixiy asar.",History,bobur;tarixiy;epic;favorite,Shelf D1,2023-01-15,15.00
Boburnoma,Vaqoye,Zahiriddin Muhammad Bobur,9789943270510,O'zbekiston,1530,O'zbek,608,"Boburning o'z qo'li bilan yozgan buyuk tarixiy, adabiy va jo'g'rofiy xotiralar to'plami.",History,manba;memuar;jahon-merosi,Shelf D2,2023-01-15,18.00
Shum Bola,Qissa,G'afur G'ulom,9789943270527,G'afur G'ulom,1936,O'zbek,160,"Zamondosh o'zbek bolasi qismati, sarguzashtlari va boy xalqona hajviyasi aks etgan qissa.",Humor,hajv;sarguzasht;bolalar,Shelf D2,2023-01-15,7.50
Ikki Eshik Orasi,Roman,O'tkir Hoshimov,9789943270534,Sharq,1986,O'zbek,576,"Ikkinchi jahon urushi va undan keyingi davrdagi insoniy munosabatlar, mehr-oqibat va sadoqat.",Fiction,uzbek;urush;drama;favorite,Shelf D2,2023-01-15,13.00
Dunyoning Ishlari,Qissalar,O'tkir Hoshimov,9789943270541,Sharq,1982,O'zbek,288,"Ona haqidagi eng ta'sirchan, samimiy va samoviy mehr bilan sug'orilgan xotiralar.",Memoir,ona;xotiralar;tarbiya,Shelf D2,2023-01-15,9.00
The Silmarillion,,J.R.R. Tolkien,9780345325815,Standard Publishing,1977,English,365,"The mythological origins of Middle-earth, the creation of Arda, and the wars of the First Age.",Fantasy,fantasy;recommended,Shelf F1,2023-01-15,22.00
The Children of Húrin,,J.R.R. Tolkien,9780547044841,Standard Publishing,2007,English,313,The tragic tale of Túrin Turambar and his sister Nienor cursed by Morgoth.,Fantasy,fantasy;recommended,Shelf F1,2023-01-15,22.00
The Alchemist,,Paulo Coelho,9780062315007,Standard Publishing,1988,English,208,"Santiago, an Andalusian shepherd boy, journeys to the Egyptian pyramids in search of a treasure.",Fiction,fiction;recommended,Shelf F2,2023-01-15,23.99
Life of Pi,,Yann Martel,9780156027328,Standard Publishing,2001,English,319,A young Indian boy survives 227 days on a lifeboat in the Pacific with a Bengal tiger.,Fiction,fiction;recommended,Shelf F6,2023-01-15,12.00
The Kite Runner,,Khaled Hosseini,9781594631931,Standard Publishing,2003,English,371,The unforgettable story of friendship and redemption against the backdrop of Afghanistan's history.,Fiction,fiction;recommended,Shelf F3,2023-01-15,19.99
A Thousand Splendid Suns,,Khaled Hosseini,9781594489501,Standard Publishing,2007,English,372,A chronicle of thirty years of Afghan history through the lives of two resilient women.,Fiction,fiction;recommended,Shelf F6,2023-01-15,36.00
Norwegian Wood,,Haruki Murakami,9780375704024,Standard Publishing,1987,English,296,"A nostalgic story of loss, sexuality, and collegiate life in 1960s Tokyo.",Fiction,fiction;recommended,Shelf F1,2023-01-15,12.00
Kafka on the Shore,,Haruki Murakami,9781400079278,Standard Publishing,2002,English,467,Kafka Tamura runs away from home while elderly Nakata searches for lost cats.,Fiction,fiction;recommended;epic,Shelf F6,2023-01-15,28.00
1Q84,,Haruki Murakami,9780307593313,Standard Publishing,2009,English,925,Aomame and Tengo find themselves in an alternate reality with two moons in 1984 Tokyo.,Fiction,fiction;recommended;epic,Shelf F3,2023-01-15,25.50
The Wind-Up Bird Chronicle,,Haruki Murakami,9780679775430,Standard Publishing,1994,English,607,Toru Okada searches for his wife's missing cat in suburban Tokyo and stumbles into dark secrets.,Fiction,fiction;recommended;epic,Shelf F1,2023-01-15,22.00
Never Let Me Go,,Kazuo Ishiguro,9781400078776,Standard Publishing,2005,English,288,"Kathy, Ruth, and Tommy grow up at Hailsham boarding school unaware of their true cloned destiny.",Sci-Fi,sci-fi;recommended,Shelf S6,2023-01-15,16.50
The Remains of the Day,,Kazuo Ishiguro,9780679731726,Standard Publishing,1989,English,245,"An aging English butler reflects on duty, dignity, and missed love after World War II.",Classics,classics;recommended,Shelf C5,2023-01-15,26.50
Klara and the Sun,,Kazuo Ishiguro,9780593318171,Standard Publishing,2021,English,303,An Artificial Friend named Klara observes human affection and illness with unyielding hope.,Sci-Fi,sci-fi;recommended,Shelf S2,2023-01-15,39.00
Good Omens,,Neil Gaiman;Terry Pratchett,9780060853983,Standard Publishing,1990,English,432,An angel and a demon who enjoy life on Earth join forces to prevent the apocalypse.,Fantasy,fantasy;recommended;epic,Shelf F4,2023-01-15,18.50
American Gods,,Neil Gaiman,9780380789030,Standard Publishing,2001,English,635,Shadow Moon is released from prison and hired as a bodyguard for the mysterious Mr. Wednesday.,Fantasy,fantasy;recommended;epic,Shelf F4,2023-01-15,14.99
Coraline,,Neil Gaiman,9780380807345,Standard Publishing,2002,English,162,Coraline discovers a secret door leading to an alternate home and a creepy Other Mother.,Fantasy,fantasy;recommended,Shelf F4,2023-01-15,9.99
Stardust,,Neil Gaiman,9780061142024,Standard Publishing,1999,English,256,Tristran Thorn promises to retrieve a fallen star from Faerie to win the heart of his love.,Fantasy,fantasy;recommended,Shelf F4,2023-01-15,43.99
The Ocean at the End of the Lane,,Neil Gaiman,9780062255655,Standard Publishing,2013,English,181,A man returns to his childhood home and remembers forgotten supernatural encounters.,Fantasy,fantasy;recommended,Shelf F2,2023-01-15,14.50
The Color Purple,,Alice Walker,9780143135692,Standard Publishing,1982,English,304,Celie chronicles her life and survival through epistolary letters to God in rural Georgia.,Classics,classics;recommended,Shelf C3,2023-01-15,33.50
Beloved,,Toni Morrison,9781400033416,Standard Publishing,1987,English,324,"Sethe escapes enslavement to Ohio, haunted by the ghost of her deceased daughter.",Classics,classics;recommended,Shelf C4,2023-01-15,11.50
